文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),求和,是否大于85
35,65.91,,,0.38,,1.44,0.17,0.16,22.05,5.68,0.42,,,,96.21,是
36,39.57,2.22,0.14,0.37,,1.6,0.32,0.68,41.61,10.83,0.07,0.22,,,97.63,是
37,60.12,,0.23,0.89,,2.72,,3.01,17.24,10.34,1.46,0.31,,3.66,99.98,是
38,32.93,1.38,,0.68,,2.57,0.29,0.73,49.31,9.79,0.48,0.41,,,98.57,是
39,26.25,,,1.11,,0.5,,0.88,61.03,7.22,1.16,0.61,,,98.76,是
40,16.71,,,1.87,,0.45,0.19,,70.21,6.69,1.77,0.68,,,98.57,是
41,18.46,,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,,,93.71,是
42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,,2.67,21.88,10.47,0.08,0.35,,,98.01,是
42未风化点2,51.33,5.68,0.35,,1.16,5.66,,2.72,20.12,10.88,,,,,97.9,是
43部位1,12.41,,,5.24,0.89,2.25,0.76,5.35,59.85,7.29,,0.64,,,94.68,是
43部位2,21.7,,,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,,,96.67,是
44未风化点,60.74,3.06,0.2,2.14,,12.69,0.77,0.43,13.61,5.22,,0.26,,,99.12,是
45,61.28,2.66,0.11,0.84,0.74,5,,0.53,15.99,10.96,,0.23,,,98.34,是
46,55.21,,0.25,,1.67,4.79,,0.77,25.25,10.06,0.2,0.43,,,98.63,是
47,51.54,4.66,0.29,0.87,0.61,3.06,,0.65,25.4,9.23,0.1,0.85,,,97.26,是
48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,,15.71,7.31,1.1,0.25,1.31,,99.17,是
49,28.79,,,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,,,95.5,是
49未风化点,54.61,,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,,,98.24,是
50,17.98,,,3.19,0.47,1.87,0.33,1.13,44,14.2,6.34,0.66,,,90.17,是
50未风化点,45.02,,,3.12,0.54,4.16,,0.7,30.61,6.22,6.34,0.23,,,96.94,是
51部位1,24.61,,,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,,95.33,是
51部位2,21.35,,,5.13,1.45,2.51,0.42,0.75,51.34,,8.75,,,,91.7,是
52,25.74,1.22,,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,,,94.08,是
53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,,0.54,13.66,8.99,,0.27,,,98.25,是
54,22.28,,0.32,3.19,1.28,4.15,,0.83,55.46,7.04,4.24,0.88,,,99.67,是
54严重风化点,17.11,,,,1.11,3.65,,1.34,58.46,,14.13,1.12,,,96.92,是
55,49.01,2.71,,1.13,,1.45,,0.86,32.92,7.95,0.35,,,,96.38,是
56,29.15,,,1.21,,1.85,,0.79,41.25,15.45,2.54,,,,92.24,是
57,25.42,,,1.31,,2.18,,1.16,45.1,17.3,,,,,92.47,是
58,30.39,,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,,,98.76,是
