文物编号,纹饰,类型,颜色,表面风化,文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),分类
20,1,2,2,0,20,37.36,0,0.71,0,0,5.45,1.51,4.78,9.3,23.55,5.75,0,0,0,4
21,1,1,4,0,21,76.68,0,0,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,0,0,0,2
22,2,1,4,1,22,66.37083333,0,9.5275,6.1225,1.5225,8.19,2.016666667,1.440833333,0,0,1.3325,0,0,0,1
23,1,2,4,1,23未风化点,53.79,7.92,0,0.5,0.71,1.42,0,2.99,16.98,11.86,0,0.33,0,0,4
24,3,2,8,0,24,31.94,0,0,0.47,0,1.59,0,8.46,29.14,26.23,0.14,0.91,0,0,4
25,3,2,2,1,25未风化点,50.61,2.31,0,0.63,0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0,0,4
26,3,2,8,1,26,49.53687291,0,0,0.065050167,0,2.186086957,0,9.7259699,8.300936455,29.44443144,0,0.299799331,0,0.752976589,3
26,3,2,8,1,26严重风化点,33.46687291,0,0.485234114,1.635050167,0,2.666086957,0,2.7559699,8.690936455,32.64443144,1.811822742,0.469799331,0,14.74297659,3
27,2,1,4,1,27,66.74083333,0,0,5.4025,1.4225,7.2,1.866666667,2.430833333,0,0,1.4825,0,0,0,1
28,1,2,2,1,28未风化点,68.08,0,0.26,1.34,1,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0,4
29,1,2,2,1,29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0,0,4
30,1,2,7,0,30部位1,34.34,0,1.41,4.49,0.98,4.35,2.12,0,39.22,10.29,0,0.35,0.4,0,4
30,1,2,7,0,30部位2,36.93,0,0,4.24,0.51,3.86,2.74,0,37.74,10.35,1.41,0.48,0.44,0,4
31,3,2,8,0,31,65.91,0,0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0,0,4
32,3,2,1,0,32,69.71,0,0.21,0.46,0,2.36,1,0.11,19.76,4.88,0.17,0,0,0,4
33,3,2,6,0,33,75.51,0,0.15,0.64,1,2.35,0,0.47,16.16,3.55,0.13,0,0,0,4
34,3,2,6,1,34,65.52687291,0,0.335234114,0,0,3.106086957,0.621906355,0.6659699,25.32093645,7.194431438,0,0.069799331,0,0,3
35,3,2,1,0,35,65.91,0,0,0.38,0,1.44,0.17,0.16,22.05,5.68,0.42,0,0,0,4
36,3,2,6,1,36,69.31687291,3.686454849,0.225234114,0,0,3.086086957,0.471906355,0,20.38093645,8.024431438,0,0.069799331,0,0,3
37,3,2,6,0,37,60.12,0,0.23,0.89,0,2.72,0,3.01,17.24,10.34,1.46,0.31,0,3.66,4
38,3,2,6,1,38,62.67687291,2.846454849,0,0,0,4.056086957,0.441906355,0,28.08093645,6.984431438,0,0.259799331,0,0,3
39,3,2,6,1,39,55.99687291,0,0,0,0,1.986086957,0,0.0359699,39.80093645,4.414431438,0,0.459799331,0,0,3
40,3,2,0,1,40,46.45687291,0,0,0.495050167,0,1.936086957,0.341906355,0,48.98093645,3.884431438,0,0.529799331,0,0,3
41,3,2,1,1,41,48.20687291,0,0.525234114,3.585050167,2.720434783,4.816086957,1.941906355,0,22.89093645,6.954431438,3.231822742,0.319799331,0,0,3
42,1,2,2,1,42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,0,2.67,21.88,10.47,0.08,0.35,0,0,4
42,1,2,2,1,42未风化点2,51.33,5.68,0.35,0,1.16,5.66,0,2.72,20.12,10.88,0,0,0,0,4
43,3,2,2,1,43部位1,42.15687291,0,0,3.865050167,0.880434783,3.736086957,0.911906355,4.5059699,38.62093645,4.484431438,0,0.489799331,0,0,3
43,3,2,2,1,43部位2,51.44687291,0,0,5.025050167,0.940434783,4.896086957,1.541906355,0.6659699,23.52093645,0.454431438,8.601822742,0.319799331,0,0,3
44,1,2,2,1,44未风化点,60.74,3.06,0.2,2.14,0,12.69,0.77,0.43,13.61,5.22,0,0.26,0,0,4
45,1,2,2,0,45,61.28,2.66,0.11,0.84,0.74,5,0,0.53,15.99,10.96,0,0.23,0,0,4
46,1,2,2,0,46,55.21,0,0.25,0,1.67,4.79,0,0.77,25.25,10.06,0.2,0.43,0,0,4
47,1,2,2,0,47,51.54,4.66,0.29,0.87,0.61,3.06,0,0.65,25.4,9.23,0.1,0.85,0,0,4
48,1,2,0,1,48,83.07687291,2.266454849,0.405234114,1.445050167,1.530434783,15.13608696,1.181906355,0,0,4.504431438,0,0.099799331,1.288060201,0,3
49,1,2,9,1,49,58.53687291,0,0,3.205050167,1.460434783,6.866086957,2.891906355,0,12.95093645,3.294431438,6.871822742,0.309799331,0,0,3
49,1,2,9,1,49未风化点,54.61,0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0,0,4
50,1,2,9,1,50,47.72687291,0,0,1.815050167,0.460434783,3.356086957,0.481906355,0.2859699,22.77093645,11.39443144,2.111822742,0.509799331,0,0,3
50,1,2,9,1,50未风化点,45.02,0,0,3.12,0.54,4.16,0,0.7,30.61,6.22,6.34,0.23,0,0,4
51,3,2,2,1,51部位1,54.35687291,0,0,2.205050167,1.180434783,6.736086957,1.341906355,0.5259699,19.01093645,6.134431438,3.871822742,0.239799331,0.448060201,0,3
51,3,2,2,1,51部位2,51.09687291,0,0,3.755050167,1.440434783,3.996086957,0.571906355,0,30.11093645,0,4.521822742,0,0,0,3
52,3,2,2,1,52,55.48687291,2.686454849,0,0.895050167,0.540434783,2.646086957,0.381906355,0,26.19093645,5.834431438,1.481822742,0.289799331,0,0,3
53,1,2,2,1,53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,0,0.54,13.66,8.99,0,0.27,0,0,4
54,3,2,2,1,54,52.02687291,0,0.405234114,1.815050167,1.270434783,5.636086957,0,0,34.23093645,4.234431438,0.011822742,0.729799331,0,0,3
54,3,2,2,1,54严重风化点,46.85687291,0,0,0,1.100434783,5.136086957,0,0.4959699,37.23093645,0,9.901822742,0.969799331,0,0,3
55,3,2,3,0,55,49.01,2.71,0,1.13,0,1.45,0,0.86,32.92,7.95,0.35,0,0,0,4
56,3,2,4,1,56,58.89687291,0,0,0,0,3.336086957,0,0,20.02093645,12.64443144,0,0,0,0,3
57,3,2,4,1,57,55.16687291,0,0,0,0,3.666086957,0,0.3159699,23.87093645,14.49443144,0,0,0,0,3
58,3,2,0,1,58,60.13687291,0,0.425234114,2.115050167,0.780434783,5.006086957,1.011906355,2.2859699,18.12093645,4.854431438,4.761822742,0.089799331,0,0,3
